      HTLup  0   6.490   0.060  153.8    2.4    3.0  3.692  0.017  0.023   0.74  0.18  0.20   0.23  0.06  0.13      0  5.85  0.32  0.30     0  -10.52  1.80  0.12    1   -8.38  
   HD142666  0   6.740   0.050  148.0    2.2    2.6  3.877  0.012  0.017   0.96  0.23  0.20   0.20  0.04  0.01      0  7.02  0.77  0.00     0  -10.84  2.10  0.00    1   -8.39  
   HD143006  0   6.020   0.150  165.0    5.7    4.2  3.751  0.019  0.020   0.58  0.16  0.15   0.25  0.05  0.08      0  6.63  0.30  0.29     0   -8.07  0.40  0.38    0       0  
      AS205  0   7.820   0.100  127.5    2.4    2.2  3.640  0.011  0.009   0.33  0.16  0.15  -0.06  0.07  0.05      0  5.82  0.28  0.21     0   -7.35  0.44  0.38    0       0  
