0.3597	0.3102		0		0.20	Mendigutia12
0.4377	0.8872		0		0.20	Mendigutia12
0.5488	1.2474		0		0.20	Mendigutia12
0.6515	1.4818		0		0.20	Mendigutia12
0.7981	1.5646		0		0.20	Mendigutia12
1.235	1.8285		0.026		0.02	2MASS
1.662	2.0640		0.027		0.02	2MASS
2.159	2.4728		0.017		0.02	2MASS	
3.3526	2.5246		0.198		0.02	WISE
4.6028	3.0605		0.144		0.03	WISE
9.	5.152 		0.355 		0.15	AKARI
11.561	7.2494		0.017		0.05	WISE
18.	6.578		0.0071		0.15	AKARI
22.088	8.8545		0.022		0.06	WISE
65.	5.259		0.369		0.20	AKARI
70.	6.429		0.089		0.20	Herschel
90.	5.729 		0.324		0.25	AKARI
100.	5.7892		0.0103		0.25	Herschel
140.	5.966		0.829		0.25	AKARI
160.	4.3618		0.0277		0.25	Herschel
450.	1.140		0.035		0.20	Sandell11
800.	0.351		0.023		0.25	Sylvester96
850.	0.313		0.005		0.15	Sandell11
1100.	0.180		0.012		0.25	Sylvester96
1200.	0.079		0.004		0.15	Natta04
1300.	0.127		0.009		0.25	Sylvester96
3100.	0.013		0.001		0.15	Natta04
3300.	0.011		0.001		0.15	Natta04
7000.	0.0017		0.0002		0.15	Natta04
