| lambda |  Flux   |  F_Er   |F_Norm_Er|
| double | double  | double  | double  |
| micron |   Jy    |   Jy    |    Jy   |
  2.35950  11.74000   0.19000   0.19000 
  2.35975  11.74000   0.19000   0.19000 
  2.36000  11.75000   0.19000   0.19000 
  2.36025  11.77000   0.19000   0.19000 
  2.36050  11.79000   0.19000   0.19000 
  2.36075  11.82000   0.19000   0.19000 
  2.36100  11.87000   0.19000   0.19000 
  2.36125  11.92000   0.19000   0.19000 
  2.36150  11.97000   0.19000   0.19000 
  2.36175  12.03000   0.19000   0.19000 
  2.36200  12.09000   0.19000   0.19000 
  2.36225  12.14000   0.19000   0.19000 
  2.36250  12.20000   0.19000   0.19000 
  2.36275  12.25000   0.19000   0.19000 
  2.36300  12.30000   0.19000   0.19000 
  2.36325  12.34000   0.19000   0.19000 
  2.36350  12.37000   0.19000   0.19000 
  2.36375  12.39000   0.19000   0.19000 
  2.36400  12.41000   0.19000   0.19000 
  2.36425  12.41000   0.19000   0.19000 
  2.36450  12.40000   0.19000   0.19000 
  2.36475  12.38000   0.19000   0.19000 
  2.36500  12.36000   0.19000   0.19000 
  2.36525  12.33000   0.19000   0.19000 
  2.36550  12.29000   0.19000   0.19000 
  2.36575  12.27000   0.19000   0.19000 
  2.36600  12.24000   0.19000   0.19000 
  2.36625  12.23000   0.19000   0.19000 
  2.36650  12.23000   0.18000   0.18000 
  2.36675  12.23000   0.18000   0.18000 
  2.36700  12.25000   0.18000   0.18000 
  2.36725  12.28000   0.18000   0.18000 
  2.36750  12.32000   0.18000   0.18000 
  2.36775  12.36000   0.18000   0.18000 
  2.36800  12.42000   0.18000   0.18000 
  2.36825  12.49000   0.18000   0.18000 
  2.36850  12.55000   0.18000   0.18000 
  2.36875  12.63000   0.18000   0.18000 
  2.36900  12.70000   0.18000   0.18000 
  2.36925  12.76000   0.18000   0.18000 
  2.36950  12.82000   0.18000   0.18000 
  2.36975  12.88000   0.18000   0.18000 
  2.37000  12.92000   0.18000   0.18000 
  2.37025  12.95000   0.18000   0.18000 
  2.37050  12.98000   0.18000   0.18000 
  2.37075  13.00000   0.18000   0.18000 
  2.37100  13.02000   0.18000   0.18000 
  2.37125  13.04000   0.18000   0.18000 
  2.37150  13.05000   0.18000   0.18000 
  2.37175  13.07000   0.18000   0.18000 
  2.37200  13.09000   0.18000   0.18000 
  2.37225  13.12000   0.18000   0.18000 
  2.37250  13.15000   0.18000   0.18000 
  2.37275  13.18000   0.18000   0.18000 
  2.37300  13.21000   0.18000   0.18000 
  2.37325  13.24000   0.18000   0.18000 
  2.37350  13.27000   0.18000   0.18000 
  2.37375  13.30000   0.18000   0.18000 
  2.37400  13.33000   0.18000   0.18000 
  2.37425  13.34000   0.18000   0.18000 
  2.37450  13.35000   0.18000   0.18000 
  2.37475  13.36000   0.18000   0.18000 
  2.37500  13.35000   0.18000   0.18000 
  2.37525  13.34000   0.18000   0.18000 
  2.37550  13.34000   0.18000   0.18000 
  2.37575  13.32000   0.18000   0.18000 
  2.37600  13.31000   0.18000   0.18000 
  2.37625  13.31000   0.18000   0.18000 
  2.37650  13.30000   0.17000   0.17000 
  2.37675  13.30000   0.17000   0.17000 
  2.37700  13.31000   0.17000   0.17000 
  2.37725  13.32000   0.17000   0.17000 
  2.37750  13.34000   0.17000   0.17000 
  2.37775  13.35000   0.17000   0.17000 
  2.37800  13.37000   0.17000   0.17000 
  2.37825  13.39000   0.17000   0.17000 
  2.37850  13.41000   0.17000   0.17000 
  2.37875  13.41000   0.17000   0.17000 
  2.37900  13.42000   0.17000   0.17000 
  2.37925  13.41000   0.17000   0.17000 
  2.37950  13.40000   0.17000   0.17000 
  2.37975  13.38000   0.17000   0.17000 
  2.38000  13.36000   0.17000   0.17000 
  2.38025  13.33000   0.17000   0.17000 
  2.38050  13.30000   0.17000   0.17000 
  2.38075  13.28000   0.17000   0.17000 
  2.38100  13.25000   0.17000   0.17000 
  2.38125  13.22000   0.17000   0.17000 
  2.38150  13.19000   0.17000   0.17000 
  2.38175  13.16000   0.17000   0.17000 
  2.38200  13.14000   0.17000   0.17000 
  2.38225  13.11000   0.17000   0.17000 
  2.38250  13.09000   0.17000   0.17000 
  2.38275  13.06000   0.17000   0.17000 
  2.38300  13.04000   0.17000   0.17000 
  2.38325  13.02000   0.17000   0.17000 
  2.38350  12.99000   0.17000   0.17000 
  2.38375  12.97000   0.17000   0.17000 
  2.38400  12.94000   0.17000   0.17000 
  2.38425  12.92000   0.17000   0.17000 
  2.38450  12.89000   0.17000   0.17000 
  2.38475  12.86000   0.17000   0.17000 
  2.38500  12.83000   0.16000   0.16000 
  2.38525  12.79000   0.16000   0.16000 
  2.38550  12.75000   0.16000   0.16000 
  2.38575  12.71000   0.16000   0.16000 
  2.38600  12.67000   0.16000   0.16000 
  2.38625  12.63000   0.16000   0.16000 
  2.38650  12.59000   0.16000   0.16000 
  2.38675  12.56000   0.16000   0.16000 
  2.38700  12.53000   0.16000   0.16000 
  2.38725  12.51000   0.16000   0.16000 
  2.38750  12.50000   0.16000   0.16000 
  2.38775  12.49000   0.16000   0.16000 
  2.38800  12.48000   0.16000   0.16000 
  2.38825  12.47000   0.16000   0.16000 
  2.38850  12.46000   0.16000   0.16000 
  2.38875  12.45000   0.16000   0.16000 
  2.38900  12.44000   0.16000   0.16000 
  2.38925  12.43000   0.16000   0.16000 
  2.38950  12.42000   0.16000   0.16000 
  2.38975  12.41000   0.16000   0.16000 
  2.39000  12.41000   0.16000   0.16000 
  2.39025  12.41000   0.16000   0.16000 
  2.39050  12.42000   0.16000   0.16000 
  2.39075  12.43000   0.16000   0.16000 
  2.39100  12.43000   0.16000   0.16000 
  2.39125  12.44000   0.16000   0.16000 
  2.39150  12.45000   0.16000   0.16000 
  2.39175  12.46000   0.16000   0.16000 
  2.39200  12.47000   0.16000   0.16000 
  2.39225  12.49000   0.16000   0.16000 
  2.39250  12.50000   0.15000   0.15000 
  2.39275  12.52000   0.15000   0.15000 
  2.39300  12.54000   0.15000   0.15000 
  2.39325  12.56000   0.15000   0.15000 
  2.39350  12.57000   0.15000   0.15000 
  2.39375  12.58000   0.15000   0.15000 
  2.39400  12.58000   0.15000   0.15000 
  2.39425  12.57000   0.15000   0.15000 
  2.39450  12.56000   0.15000   0.15000 
  2.39475  12.54000   0.15000   0.15000 
  2.39500  12.52000   0.15000   0.15000 
  2.39525  12.50000   0.15000   0.15000 
  2.39550  12.48000   0.15000   0.15000 
  2.39575  12.47000   0.15000   0.15000 
